lane,last_hits,denies,gold_per_min,xp_per_min,tower_damage,hero_damage,hero_healing,camps_stacked,kills,deaths,assists,sen_placed,obs_placed,match_id,start_time,win,hero_id,account_id,leaguename
3,14,0,289,342,316,7860,0,2,3,3,14,1,2,5838638449,1613468369,TRUE,7,118736004,LPL Pro Dota 2 Season 1 2021
1,32,3,214,264,43,4150,400,1,3,3,4,5,5,5835975250,1613346612,FALSE,7,86726887,DPC Winter 21 League (NA) presented by BTS
3,50,1,361,521,182,9563,0,1,3,2,20,2,6,5897361527,1616227812,TRUE,7,130503714,Moon Studio Asia 
1,58,0,380,518,591,9916,0,0,3,2,19,4,5,5843502579,1613675942,TRUE,7,117483894,DPC Winter 21 League (EEU) presented by ESL One
2,152,2,416,542,1730,15617,0,2,3,2,13,7,4,5826958168,1612954829,TRUE,7,155494381,DPC Winter 21 League (SEA) presented by PGL
3,74,1,322,529,710,10342,384,2,3,2,10,1,2,5828456476,1613023537,TRUE,7,209287073,DPC Winter 21 League (SEA) presented by PGL
3,121,4,250,328,0,8179,0,1,3,2,5,4,4,5829021934,1613049624,FALSE,7,98172857,Snow Sweet Snow #1
1,44,4,269,404,0,6357,0,3,3,1,13,1,3,5857562888,1614369753,TRUE,7,157989498,DPC Winter 21 League (SA) presented by OGA
2,106,2,355,531,0,16132,0,1,3,0,17,3,6,5852606133,1614105743,TRUE,7,92601861,Snow Sweet Snow #2
2,45,1,211,292,182,9720,0,1,2,14,11,1,4,5949215095,1618610042,FALSE,7,1031547092,DPC Spring 21 League (SA) Upper Division presented by OGA 
3,47,6,312,322,1908,12511,0,1,2,13,19,1,3,5843079898,1613659452,TRUE,7,404501247,DIGI CUP MONTHLY
1,77,5,299,532,0,13558,0,4,2,13,17,5,3,5877994957,1615353191,TRUE,7,351218845,OSD Summer Dock League
2,75,2,285,543,0,20581,0,1,2,13,14,5,8,5844195041,1613720986,FALSE,7,96708830,WCAA Spring Festival cup
1,71,1,290,500,161,12804,0,1,2,12,13,2,8,5871850139,1615090766,FALSE,7,169416589,Asian New Bloom
1,53,0,233,322,0,8249,0,1,2,11,5,1,2,5849972138,1613986458,FALSE,7,166958959,LPL Pro Dota 2 Season 1 2021
3,133,1,270,451,0,23564,0,1,2,10,13,4,7,5831866022,1613170803,FALSE,7,105045291,DPC Winter 21 League (SA) presented by OGA
3,51,4,226,394,0,9717,0,0,2,10,9,1,4,5888355860,1615802088,FALSE,7,209287073,Moon Studio Asia 
1,47,1,227,286,0,7154,0,1,2,10,4,5,8,5919074158,1617180894,FALSE,7,349310876,The Singapore Major
2,117,3,348,537,0,20049,0,1,2,9,25,2,2,5863659511,1614681897,TRUE,7,118736004,LPL Pro Dota 2 Season 1 2021
1,28,0,300,461,0,13511,0,0,2,9,20,2,6,5828229264,1613009875,TRUE,7,1029834055,DireTide League
1,45,3,240,381,0,7133,90,1,2,9,9,6,3,5848621075,1613914216,FALSE,7,108958769,META'21 Open. Winter
1,91,4,332,486,177,15222,0,0,2,8,25,5,9,5843533520,1613677119,TRUE,7,404501247,DIGI CUP MONTHLY
1,46,3,275,458,43,12173,525,3,2,8,21,1,2,5838809390,1613475480,TRUE,7,152859296,Moon Studio Asia 
1,75,0,302,506,0,9116,0,3,2,8,16,4,2,5851630672,1614069363,TRUE,7,954040285,Moon Studio Asia 
3,48,4,318,444,1965,9819,0,0,2,8,16,3,3,5841556201,1613585519,TRUE,7,404501247,DIGI CUP MONTHLY
1,43,0,231,464,0,9962,0,0,2,8,9,1,5,5825237407,1612872271,FALSE,7,82305765,Snow Sweet Snow #1
2,62,5,215,283,38,9342,125,1,2,8,8,1,3,5834763135,1613300099,FALSE,7,235505993,DPC Winter 21 League (EEU) presented by ESL One
3,39,0,269,251,0,8988,0,2,2,8,7,2,3,5888399105,1615804051,FALSE,7,383323343,LPL Pro Dota 2 Season 1 2021
1,59,4,229,303,46,5493,525,0,2,8,7,2,3,5851454314,1614059569,FALSE,7,240727522,Moon Studio Asia 
1,33,2,202,372,0,9090,0,0,2,8,7,2,2,5922743869,1617360403,FALSE,7,118736004,Oceanic Esports Dota League Season 3
3,84,1,264,346,0,13191,0,3,2,8,5,1,2,5814606257,1612260621,FALSE,7,128367019,WCAA Spring Festival cup
2,55,1,255,297,0,4094,0,3,2,8,2,1,3,5836218634,1613364223,FALSE,7,954040285,WCAA Spring Festival cup
3,44,0,251,328,193,7591,0,3,2,7,16,2,4,5828801540,1613040904,TRUE,7,9403474,DPC Winter 21 League (EEU) presented by ESL One
1,130,1,317,459,0,18083,32,6,2,7,12,2,6,5821863969,1612696685,FALSE,7,101695162,DPC Winter 21 League (CN) presented by Perfect World
1,37,0,255,365,169,6727,408,1,2,7,11,5,2,5835444688,1613319794,TRUE,7,159020918,DPC Winter 21 League (EEU) presented by ESL One
3,52,3,266,369,85,11494,0,1,2,7,8,2,3,5874777987,1615204667,FALSE,7,112464030,Snow Sweet Snow #2
2,23,0,231,253,0,6224,400,1,2,7,6,4,1,5889609097,1615856140,FALSE,7,97597779,Movistar Liga Pro Gaming Season 8
3,77,3,263,361,0,11491,296,2,2,7,4,2,1,5817227289,1612427914,FALSE,7,278683370,Oceanic Esports Dota League Season 3
1,68,5,237,277,58,9907,0,0,2,7,3,2,2,5825910737,1612897139,FALSE,7,34505203,DPC Winter 21 League (WEU) presented by DreamLeague
3,36,0,346,467,0,11816,0,3,2,6,23,1,4,5824748096,1612844563,TRUE,7,313855674,DireTide League
4,96,1,343,520,0,16673,1093,1,2,6,20,3,3,5849116917,1613931042,TRUE,7,159020918,DPC Winter 21 League (EEU) presented by ESL One
1,86,3,318,404,385,13067,0,1,2,6,20,1,2,5846078625,1613808836,TRUE,7,139406237,Moon Studio Asia 
3,49,1,298,470,0,6269,94,0,2,6,19,2,2,5822704741,1612732177,TRUE,7,98462965,DPC Winter 21 League (NA) presented by BTS
1,37,0,281,544,676,10381,0,0,2,6,19,1,5,5826503591,1612933541,TRUE,7,209287073,DPC Winter 21 League (SEA) presented by PGL
2,52,4,312,480,232,11809,1132,0,2,6,19,1,2,5813810385,1612200762,TRUE,7,98167706,DPC Winter 21 League (WEU) presented by DreamLeague
2,91,1,342,486,215,11661,0,4,2,6,18,2,3,5840574010,1613552358,TRUE,7,197547532,Snow Sweet Snow #2
1,70,5,292,465,972,16557,125,2,2,6,17,2,4,5869448576,1614985106,TRUE,7,248180032,BTS Dota 2 Online
3,41,0,225,332,88,14618,0,3,2,6,14,2,3,5943170606,1618306240,FALSE,7,118736004,LPL Pro Dota 2 Season 1 2021
3,55,2,295,456,218,11668,0,4,2,6,9,4,4,5823758731,1612790997,TRUE,7,297312417,DPC Winter 21 League (SEA) presented by PGL
2,37,1,215,247,0,11174,676,0,2,6,5,1,3,5857567222,1614369094,FALSE,7,313198707,Snow Sweet Snow #2
2,81,1,350,396,0,14409,100,1,2,5,25,9,6,5836260082,1613366464,TRUE,7,297312417,Moon Studio Asia 
1,36,1,334,384,212,10621,0,1,2,5,20,3,4,5926045957,1617499478,TRUE,7,88153289,DPC Spring 21 Qualifier (SA) presented by OGA
1,52,0,296,502,0,8051,125,0,2,5,19,4,5,5873974354,1615162282,TRUE,7,98462965,BTS Dota 2 Online
3,32,5,274,421,179,8489,0,0,2,5,17,4,3,5911464056,1616840008,TRUE,7,89972122,Oceanic Esports Dota League Season 3
3,33,1,302,413,666,12468,0,0,2,5,16,1,3,5837551050,1613408989,TRUE,7,404501247,DIGI CUP MONTHLY
